Q1A,Q1E,Q2A,Q2E,Q3A,Q3E,Q4A,Q4E,Q5A,Q5E,Q6A,Q6E,Q7A,Q7E,Q8A,Q8E,Q9A,Q9E,Q10A,Q10E,Q11A,Q11E,Q12A,Q12E,Q13A,Q13E,Q14A,Q14E,Q15A,Q15E,Q16A,Q16E,Q17A,Q17E,Q18A,Q18E,Q19A,Q19E,Q20A,Q20E,Q21A,Q21E,Q22A,Q22E,Q23A,Q23E,Q24A,Q24E,Q25A,Q25E,Q26A,Q26E,Q27A,Q27E,Q28A,Q28E,Q29A,Q29E,Q30A,Q30E,Q31A,Q31E,Q32A,Q32E,Q33A,Q33E,Q34A,Q34E,Q35A,Q35E,Q36A,Q36E,Q37A,Q37E,Q38A,Q38E,Q39A,Q39E,Q40A,Q40E,Q41A,Q41E,Q42A,Q42E,country,introelapse,testelapse,surveyelapse,TIPI1,TIPI2,TIPI3,TIPI4,TIPI5,TIPI6,TIPI7,TIPI8,TIPI9,TIPI10,education,urban,gender,age,religion,married,familysize,major,major_category
4,4504,2,5241,3,9301,3,13599,4,2818,3,3121,2,3819,4,2546,4,8849,4,6903,3,9876,3,4871,4,1862,3,11924,2,4076,4,2913,4,2670,2,2765,3,15838,3,3696,4,2129,3,2473,1,7076,3,6415,2,11936,4,2962,2,4795,3,3011,3,6633,2,12045,3,5569,3,7723,3,3011,4,2387,2,34364,3,3710,4,3807,4,16966,2,2804,4,8595,2,8546,4,4273,SE,13,282,98,1,5,6,7,7,7,6,3,5,2,2,3,2,20,2,1,3,Others,Others
3,3155,4,8485,3,9127,2,7205,4,4044,3,11538,2,2291,4,2851,4,5482,4,3991,2,7188,3,5880,4,2586,3,8443,2,4892,3,4394,3,4697,3,6967,2,7129,4,3511,3,5377,4,3008,2,4698,3,7649,2,5100,4,3174,3,3312,2,4105,3,30388,3,7994,3,6041,3,3127,3,2784,3,5591,3,16279,2,3695,3,3423,4,2672,2,4657,4,11035,2,8757,4,4800,US,813,262,282,5,3,5,6,7,5,7,3,3,2,3,3,3,22,12,1,2,film,Arts
4,2808,4,3113,3,5198,1,4575,4,2002,4,1769,1,3480,4,5607,4,7519,4,3712,2,5201,1,3001,4,1295,4,7240,4,2488,4,2977,4,2511,1,3600,4,6575,1,6022,4,2263,4,4040,2,7183,4,3695,2,8689,4,3664,4,2521,1,2200,1,4280,4,4848,4,1945,1,5751,4,2709,4,4844,1,10530,4,1335,4,4792,4,1992,4,2097,3,8640,1,4495,4,5064,PL,401,179,67,1,3,5,1,7,7,6,5,1,3,1,3,1,18,1,1,1,Others,Others
3,4496,1,2878,2,4889,1,3096,3,7723,1,3650,2,5958,1,5574,1,23799,3,3638,3,3295,1,6356,3,3117,4,8107,2,4697,3,5939,1,10332,1,2847,1,3815,1,2815,2,3375,2,3386,1,2304,3,5263,1,3508,3,4004,4,2196,1,2858,2,9697,1,5165,3,47338,2,6208,1,2320,2,4358,4,7199,1,2847,3,2750,2,4530,4,5296,1,16106,1,2258,4,18800,CA,12,279,131,1,4,6,1,7,7,5,6,7,2,2,2,2,21,10,1,3,Software Engineering,Computer Science
1,4484,1,4051,1,5016,2,7581,2,3920,2,3718,2,3776,2,3391,2,6215,2,5184,2,4283,2,5117,2,2360,2,6467,2,2216,2,6881,1,3105,2,2593,2,5820,2,7033,1,3960,2,3096,2,2230,2,11546,2,5484,2,2453,2,3668,2,2649,2,4783,1,5435,1,2949,1,4066,2,3157,1,1788,1,5997,1,2764,1,3970,1,1952,2,2986,2,3967,2,3393,2,3912,US,13,185,313,6,2,6,5,5,2,7,1,5,2,2,1,2,41,7,2,2,Others,Others
4,1856,3,3162,3,5461,4,2518,2,3281,4,1536,4,1521,4,1455,4,2665,2,5631,4,3688,4,2133,4,7626,4,2212,4,1989,2,2631,2,2064,4,2276,2,12816,4,1805,1,1825,3,5484,3,2820,2,4154,4,4248,4,1426,4,2092,4,2097,4,1956,4,4413,2,2519,4,3480,4,1353,2,2009,4,2272,4,1309,2,16090,4,1023,4,15684,4,4373,3,4061,3,5025,MY,13,159,150,5,5,2,6,3,5,5,6,2,6,4,2,2,25,10,1,4,Linguistic ,Humanities
4,3623,2,8581,4,15416,3,5512,4,5000,4,2403,3,9619,4,1879,4,8695,4,2999,4,2567,3,11192,4,1670,4,6508,2,2388,4,3046,4,3104,2,3132,3,8863,3,6988,4,1970,4,4810,4,5272,4,3034,3,8977,4,2036,3,5582,4,3801,4,4556,3,7213,3,5356,4,8308,4,2574,4,2797,3,6765,4,2365,4,3056,4,2611,4,3385,3,8989,3,2586,4,3238,US,33,214,244,1,7,1,6,5,7,6,7,1,5,2,3,2,42,12,1,3,Information systems ,Computer Science
3,1855,3,1572,4,2652,2,2026,4,3058,1,2009,2,3329,4,1279,2,1985,4,1910,3,2002,2,4536,4,1637,3,3816,1,4392,4,2172,4,1616,1,2221,2,2279,4,2640,4,2348,3,1312,1,1467,4,1801,2,2370,4,2649,3,1905,2,1439,2,5071,3,5624,4,2552,3,4414,1,1744,4,1456,3,2977,2,2289,4,1625,4,1424,3,2120,3,3274,1,2364,4,3053,MY,4,105,126,2,2,6,4,6,5,5,5,5,2,3,3,2,24,10,1,5,Engineering,Engineering
3,1665,3,1303,2,1646,3,2255,2,1748,3,1818,3,2203,3,1534,3,2951,2,1462,3,1455,3,1449,2,1874,3,2256,2,1083,2,1249,3,1432,2,2604,4,2618,3,1594,3,1449,3,1738,3,1163,2,2244,2,3066,2,1646,3,4198,3,1136,2,1568,2,4100,3,2072,2,1621,2,1916,2,1317,2,2066,3,1074,2,1968,3,1167,2,1167,2,1521,4,1967,2,2165,US,5,78,144,3,6,5,7,3,5,3,5,2,2,2,3,2,18,2,1,4,Psychology ,Social Sciences
1,3318,2,3168,4,2941,3,3703,2,8604,4,4725,4,5581,4,2510,4,3097,4,2324,4,1376,4,3717,4,1158,3,6089,3,16349,2,5085,4,1815,4,1571,1,7082,4,530,4,1532,1,3020,4,1752,4,2465,1,6650,4,2364,4,1526,3,3208,4,2307,4,2410,3,3006,3,4609,4,3913,4,1815,2,4147,2,2131,2,3974,4,1793,3,1486,4,2739,1,5306,2,3184,CA,2,155,211,2,6,4,7,5,3,7,7,1,1,1,3,2,14,2,1,3,Others,Others
4,17035,3,4710,1,3371,1,8967,3,6160,2,3124,1,5142,1,6709,1,24325,2,4290,1,8078,1,4430,2,4648,4,5454,1,7442,1,5811,3,9517,4,7394,3,12670,1,3530,2,2962,2,4474,1,2816,2,17976,2,11665,2,3168,2,6575,1,4742,1,10643,3,10937,4,10863,3,6911,1,3918,1,4111,2,9028,2,9663,3,3611,2,5938,2,5087,3,4816,2,9394,3,4819,MY,7,345,367,2,1,6,1,7,7,3,6,4,4,4,1,2,31,12,1,3,International Relation,Social Sciences
4,2878,1,1798,3,2431,1,4079,3,2186,4,1310,1,2322,3,2031,3,5300,4,2355,4,2071,1,3851,3,1880,4,3750,1,1907,3,2806,3,2103,3,2492,1,2564,1,2638,1,3977,3,11846,1,1771,3,2480,4,4742,4,3137,4,1914,1,2015,3,2734,2,4819,3,2027,3,3755,1,1931,3,2016,3,3866,1,1651,4,4289,2,3953,3,1589,1,3367,1,1668,3,3260,GB,2,126,176,7,7,6,7,5,2,6,5,3,2,3,2,2,39,4,2,3,Teaching education ,Humanities
4,4967,2,6762,4,2325,1,5574,4,2853,3,2344,2,5594,4,2571,2,5833,4,2223,4,5355,2,2863,4,1857,1,3380,1,7121,4,4035,4,2380,4,1722,1,8987,1,8472,4,2775,4,2555,1,2529,4,3458,1,63261,4,2813,2,4340,1,3761,4,3365,1,7671,4,2241,1,7525,4,2079,4,4475,2,8375,1,1748,4,3142,4,1936,4,6965,3,4350,2,2987,3,3328,IN,6,235,247,1,1,2,4,5,0,0,6,2,4,3,3,1,26,8,1,3,Engineering,Engineering
4,880,1,2233,2,2476,1,3132,2,2740,3,3552,1,5320,2,2504,2,9645,3,4051,3,2976,3,4392,2,2143,3,4861,1,2308,2,3652,2,3778,3,4292,1,3986,2,2905,3,2945,2,4674,1,3209,2,3750,1,9667,2,15261,3,2874,2,4968,2,3438,2,4697,3,8414,3,10905,3,3284,1,2366,3,3982,3,926,2,2811,2,2502,2,2436,2,5161,1,5533,2,4035,US,121,208,78,3,4,5,6,4,7,5,5,3,3,2,2,1,22,6,1,2,Others,Others
3,4127,2,2023519,1,21051,2,6321,2,3159,4,4144,1,1936,3,4400,3,12440,1,2081,2,26300,3,6609,1,4759,3,3812,1,8754,1,1895,1,1801,4,2088,4,3903,2,4079,1,1959,4,1663,2,5128,1,3120,4,3161,1,1223,2,2432,3,3692,3,2136,2,3466,2,4944,2,4824,3,2551,1,1800,1,5191,1,1559,1,3529,1,1897,3,2335,4,3920,1,3657,3,2704,US,14,2231,126,6,5,7,6,5,7,7,3,4,4,2,1,2,24,1,1,3,AMERICAN SIGN LANGUAGE INTERPRETING COMMUNIT,Computer Science
4,1823,1,2089,4,3257,1,2334,4,1936,4,1692,2,3339,4,1248,2,4228,4,3144,4,1857,1,7263,2,2049,4,3412,1,2097,4,1593,2,2127,4,1663,2,3593,1,4230,2,4423,2,5822,1,1327,4,2762,3,9997,3,2078,4,1816,1,1612,3,3863,1,4863,3,8624,3,4373,2,2296,2,3398,4,3290,1,2074,2,5558,1,1754,4,1711,1,4398,3,10192,4,2251,US,2,145,112,1,7,5,7,5,5,1,7,1,5,2,1,2,29,7,1,1,Others,Others
4,2145,4,2534,3,2379,4,2164,3,1817,3,1951,4,3305,2,2626,4,2699,3,2065,4,2438,3,2944,4,1329,4,4469,4,3137,4,2665,3,1937,3,2439,4,3779,3,3040,3,3422,2,2613,1,3247,4,4150,3,6114,4,1532,3,4906,2,2677,4,4576,2,7598,3,2752,3,2535,4,1833,3,373,4,7819,4,1285,4,2609,3,2044,2,3002,4,2765,4,2130,3,2181,RO,7,124,242,6,2,7,6,7,3,5,5,4,3,1,3,2,15,7,1,0,psychology something in criminalistic field,Social Sciences
1,4613,2,4502,2,8866,3,4138,1,5056,1,2672,2,8933,1,2617,1,4338,1,4964,1,4978,1,4230,1,2054,2,10524,1,4405,3,6496,1,2691,1,4009,2,10624,1,2798,1,4507,2,5272,4,5096,2,5394,2,11853,1,4309,1,2710,2,4802,1,4550,1,6931,2,6278,3,5743,2,8029,1,4019,2,10773,1,1686,1,6508,1,4781,1,4346,1,8921,2,5194,2,5614,PY,7,254,109,4,5,3,4,5,4,4,5,4,3,1,3,1,17,6,1,4,Others,Others
3,2113,1,1382,2,1936,3,8730,2,3004,3,2278,4,1545,4,1749,4,3754,2,2047,2,2011,4,2865,3,2227,2,3500,1,1476,3,1665,2,1685,2,1778,4,26032,3,802,1,2286,3,3014,1,1283,2,1993,4,2262,2,1813,2,4442,4,1348,3,430,3,2902,2,3088,3,3888,4,1496,2,1504,2,14387,4,1344,3,4274,3,6732,2,2328,4,17528,4,2982,3,3542,US,15,170,133,5,5,5,7,3,5,7,3,2,6,1,3,2,15,1,1,4,Others,Others
4,5678,1,7673,3,4954,3,7407,4,7316,4,3202,3,5388,3,2999,3,9103,4,2188,4,2829,3,2907,4,1454,4,5033,3,2938,3,2125,4,2296,3,3250,2,4687,3,4001,4,10699,3,3421,2,5359,3,6485,2,6735,4,2968,4,3204,3,2110,4,3109,4,3251,3,9375,4,1656,4,3031,4,2828,3,7016,4,2906,4,2157,4,2516,4,2976,4,4657,4,4250,3,3890,US,4,204,254,2,6,5,6,5,6,6,6,1,5,1,3,2,13,2,1,3,Others,Others
1,3802,1,2984,1,9009,1,2303,1,1679,1,2744,1,4706,1,1584,1,5936,1,1608,1,4155,1,3264,1,5919,2,11760,1,2983,1,4088,2,2388,2,29848,1,8353,1,1952,1,6217,1,2088,1,5701,1,2623,1,6501,1,1507,1,1673,1,1808,1,8808,1,3359,1,51112,1,3255,1,1312,1,8264,1,3519,1,3232,1,2503,1,1541,1,2984,1,3344,1,6969,2,7642,US,3,254,197,4,3,4,2,5,6,5,5,5,2,2,1,1,27,1,1,2,English,Humanities
3,1645,4,1710,3,1898,4,2250,4,2407,3,2074,4,1433,4,1833,4,2420,2,3556,3,1867,4,1483,4,1591,3,2383,3,2284,4,2615,2,2053,4,1714,4,6387,4,2018,2,2168,4,1408,4,1591,3,3689,4,5396,4,1430,4,1431,4,1953,4,1717,4,3427,3,4434,4,2172,4,1448,3,4050,4,3032,4,1331,4,1804,2,1702,4,1574,4,1733,4,1998,3,2202,US,16,97,161,3,2,7,7,5,7,7,1,6,5,2,3,2,16,0,1,6,Others,Others
4,7347,2,1599,3,1830,2,6051,3,1514,3,1415,2,3101,4,7851,4,12296,3,1469,3,2332,4,4939,3,1384,3,5256,2,4133,3,1749,3,2368,3,1304,2,2809,3,1748,3,1268,4,4382,2,1533,3,8016,4,1915,3,1068,3,1337,3,1658,2,10977,4,3348,3,1482,4,2163,3,1748,3,2067,4,7086,3,2349,3,2517,3,1320,2,1390,3,3101,2,2386,3,3326,US,10,139,191,3,7,5,6,3,5,5,5,4,3,1,3,2,16,2,1,4,Others,Others
2,3889,1,3892,1,4786,1,18310,1,3319,1,2095,1,1536,2,3383,1,6255,1,3047,1,3022,1,4310,1,1337,4,9999,1,9780,2,4240,1,4865,1,2984,2,2094,1,2408,1,1983,1,2616,1,2241,1,3776,3,21327,1,1449,1,1986,1,1911,1,3328,2,7479,1,10981,3,5433,2,459921,1,2795,2,4800,1,1319,1,2212,1,2399,1,9743,1,3149,1,9754,3,6769,PL,4,676,223,7,3,5,3,7,3,7,2,7,3,3,3,1,27,1,2,1,management,Business
2,6478,4,5223,2,6171,2,14676,3,3992,3,7220,1,4310,4,1820,4,5922,4,3778,4,3546,4,3174,2,4278,2,7197,1,4641,4,4571,4,9447,1,4196,3,6966,4,3514,4,5667,4,3830,1,6319,4,5191,3,6650,2,4959,2,3717,4,2836,4,2519,1,7045,4,4619,1,9229,4,3362,4,4108,2,9927,4,2178,4,4780,4,2812,2,4942,4,3907,2,4331,4,7569,NZ,10,222,93,1,1,6,7,5,7,5,7,5,5,2,3,2,25,1,1,3,Others,Others
3,6374,2,4556,1,3846,3,3175,4,2327,4,2221,2,5329,2,3708,4,5619,2,6564,3,3344,2,3776,3,4324,2,6392,3,7426,1,6429,4,989,4,3208,1,8461,4,2602,2,3426,2,6759,1,2239,2,3746,3,11573,3,4056,4,4788,2,3391,1,5115,4,6462,2,3464,2,13666,4,3545,3,3161,2,5286,3,2320,1,3193,2,2329,4,2649,4,3390,2,3955,4,3473,MY,74847,216,170,3,1,1,5,7,5,6,7,5,4,1,3,2,16,10,1,3,Art,Arts
2,7405,1,5212,4,6559,1,15983,3,6158,2,5096,1,8738,3,5631,3,33501,4,6546,2,11124,3,9167,4,4397,1,34665,3,12965,4,5696,2,5207,4,12601,1,7128,4,9323,1,7083,2,12733,1,11228,2,12636,2,21929,3,4320,2,7694,3,13971,4,8986,2,9430,2,5268,2,13581,4,5516,1,9594,2,25144,3,14882,3,9333,2,20349,4,8312,3,10091,2,8663,4,10233,IN,3,465,452,4,4,7,5,5,6,7,1,5,1,3,3,2,27,8,1,2,Computer Science,Computer Science
2,9393,4,16475,2,8110,1,2102,1,2385,1,3771,2,5640,2,4638,2,5389,1,2419,2,3370,2,2852,2,4906,2,4971,1,2636,1,4187,1,2669,2,3620,1,5039,1,2837,1,2437,1,4438,1,1919,2,6038,1,4805,1,1885,1,5156,1,4137,1,3521,2,4756,1,2702,2,7508,2,4005,1,2386,2,8309,1,1769,2,8609,1,2253,2,2136,2,7324,2,2804,1,4022,US,19,190,211,5,5,6,3,3,2,7,1,6,1,2,3,2,53,7,3,3,Others,Others
2,3190,2,3366,2,4435,1,7653,2,2186,2,2301,1,2583,2,2072,1,5137,1,2541,2,3891,2,5805,2,8447,2,4724,1,2225,3,4082,1,2009,2,3720,2,9894,1,3330,1,2036,2,2721,1,3961,3,2620,2,7462,2,2186,2,2497,1,1723,2,2630,2,5288,2,2126,3,7677,2,3913,1,2018,2,3376,1,1662,1,6782,1,1761,2,2736,1,3095,1,1822,3,2834,US,23,177,177,7,6,3,1,7,1,6,6,6,1,2,2,2,50,1,3,3,Nursing,Medical
2,2736,2,2611,1,3507,2,3785,3,5266,4,2885,1,1157,3,1519,1,4184,2,2017,3,5070,3,3302,3,2627,1,2429,1,2335,2,3215,3,3118,3,3046,2,8558,2,3528,2,5393,3,2181,1,2326,3,6040,3,3786,3,2434,2,3323,2,3082,2,2509,2,6587,1,3183,1,2786,3,2257,4,1296,2,5511,2,3200,2,5414,2,3608,3,2386,2,4256,2,3001,4,2209,US,2,157,146,5,1,4,7,6,5,6,6,3,2,3,3,2,22,1,1,1,Communications,Social Sciences
1,2359,1,4192,4,2498,1,1913,4,2606,1,2252,1,1731,3,6149,1,3308,1,2373,3,2390,3,3684,2,4488,2,4683,1,1905,4,2996,4,2924,1,1931,1,4675,1,1646,1,1926,3,2405,1,1965,4,2094,1,7697,2,2729,3,1923,1,1300,2,11482,1,6482,3,2913,4,3276,2,3129,1,1555,3,5597,1,1173,1,3836,1,1734,4,1721,1,2417,1,2425,4,2769,FI,21,133,85,4,2,7,1,6,6,5,2,7,5,2,1,1,20,6,1,4,Others,Others
2,2518,1,2234,2,2877,1,6136,2,3271,2,2127,1,1716,2,1733,1,7420,3,14254,2,4051,2,2875,3,2727,2,4682,1,1805,2,2138,2,2771,2,2439,2,8740,1,4030,1,1367,2,5153,1,1673,2,2258,2,10648,3,2545,2,2767,1,1833,2,3666,1,4436,2,4572,3,3367,1,2128,2,2510,3,17299,1,1977,1,2946,1,2043,2,3160,1,7012,1,2256,2,3176,US,2080,174,76,2,3,7,3,5,6,7,1,3,2,2,2,2,18,6,1,3,Others,Others
4,2698,2,2552,3,4516,2,2899,4,3418,4,3203,1,8154,4,1814,3,8146,3,2817,4,2281,4,2919,4,1550,4,4705,1,3216,3,2749,3,4118,4,1950,2,4417,3,2716,2,2731,4,1648,1,4168,3,3923,2,4630,4,2033,4,2482,2,2399,4,2932,3,4985,3,2950,4,4315,4,2116,2,2482,4,8584,1,3135,3,4367,2,3486,4,2203,2,4863,2,3315,4,3194,GB,5,148,239,1,7,6,7,5,5,7,1,6,7,2,3,2,48,7,2,3,Others,Others
3,1704,1,6068,4,3387,2,2467,3,3424,3,1705,4,1741,3,1550,4,5020,4,1200,3,3149,4,2167,4,1202,4,3705,2,3852,3,3066,4,1163,3,2984,1,8339,2,3011,4,1109,4,4667,4,2222,4,3435,3,3098,4,2048,4,1279,4,1442,4,4719,4,4645,3,3053,3,3869,3,2139,4,1282,4,3918,4,1116,4,3088,4,1268,4,1828,4,8171,4,1981,4,1451,GB,3,123,159,7,7,5,6,7,5,5,7,1,1,4,3,2,23,12,1,2,Fine Art,Arts
1,2812,2,4494,2,3833,2,3090,2,3409,1,2348,2,1866,1,1924,3,8812,3,2889,1,2650,3,3410,1,2850,3,6822,1,1926,2,3973,4,2529,3,2730,1,6101,3,3712,4,2969,1,3089,1,2170,3,3411,1,7123,1,2888,1,3008,1,2228,1,6139,2,8480,4,3911,4,5539,3,6841,4,1846,4,9230,2,2207,3,7331,3,2247,1,2207,1,5858,2,3129,4,3732,US,11,181,129,1,6,7,2,2,6,6,4,4,1,1,2,1,16,6,1,2,Others,Others
4,3392,1,2021,3,4613,1,5071,3,3117,4,2711,1,2754,3,19641,3,7935,2,3076,4,2212,2,4985,4,2600,3,4681,1,4218,3,2525,2,3636,3,3869,1,4453,3,6286,3,3261,2,2544,1,2722,3,4340,2,5819,2,2415,4,2430,2,2821,4,2882,2,5033,3,3464,2,5060,1,2797,2,2434,1,5208,1,2908,2,3723,2,4235,4,2208,1,3809,1,2198,3,4247,US,4,173,448,2,5,6,7,1,2,5,1,4,1,3,3,2,27,12,1,3,Others,Others
4,2766,4,1863,3,2679,3,3237,4,2142,4,1485,4,2204,4,2090,4,879,4,3896,4,3500,4,7858,4,2321,4,3080,3,2092,4,4022,4,2236,3,6594,3,2750,4,2554,3,1653,3,2101,3,2897,4,3630,4,6432,4,1546,4,1740,4,1134,4,2706,4,2776,4,2742,4,2418,4,7709,4,1541,4,3301,4,3609,3,2972,4,1120,4,1550,4,4446,4,2904,4,3236,US,3,137,194,3,3,1,7,7,7,5,4,4,1,2,2,2,19,2,1,2,English,Humanities
2,2449,3,2189,3,8173,1,3798,2,5221,2,3695,1,8663,3,3103,3,5200,2,2450,2,4833,3,5527,4,3036,2,4020,2,5951,2,4283,3,5262,3,3231,3,4401,3,6751,1,3458,3,2501,1,2700,2,3617,1,5734,3,3715,2,2684,2,2800,3,4866,2,4650,3,3464,2,3600,3,4565,2,3111,1,4680,2,3381,3,3868,1,4719,2,11547,3,3450,2,3052,3,2852,US,3,203,1766,3,1,6,7,3,5,7,2,2,3,3,1,2,55,7,2,3,Nursing ,Medical
3,2752,4,1748,2,7064,3,2611,2,2969,3,1882,2,2144,4,2310,3,6918,2,3070,3,3237,3,3857,4,1492,4,4869,2,2034,3,9410,2,2619,2,3917,1,6215,2,2825,2,2818,4,2650,2,3110,2,2796,4,4600,4,1934,4,2128,4,2425,3,2791,2,3643,2,3365,2,2878,4,3908,2,2385,2,9799,2,2382,2,3161,2,1524,3,5447,2,3783,1,3577,2,2818,US,5,148,107,7,3,7,6,7,1,6,1,2,2,2,1,2,21,2,1,2,Others,Others
3,2959,1,1851,3,2124,2,2308,2,6114,3,1787,1,1916,3,4420,4,2175,3,1714,4,1554,3,1834,4,1521,4,1778,1,1533,3,1784,3,3167,4,1490,1,1951,3,4995,2,1653,3,1715,2,2173,2,2980,1,2094,3,1745,4,1683,3,2012,4,2476,3,1927,2,2982,2,2593,3,3246,4,1929,2,3519,3,2930,3,2056,2,1610,3,1683,4,1612,1,1819,4,2245,US,2,98,117,1,3,3,7,3,7,6,5,5,6,2,2,2,18,6,1,1,Others,Others
2,3932,1,2624,2,3213,1,2929,3,5398,2,7411,1,4191,2,3747,2,18088,4,2985,3,3024,2,2847,2,1832,2,7381,1,2204,2,9187,2,4131,3,4362,3,5440,2,3273,3,3583,2,11508,1,2547,2,2281,2,5590,2,2261,3,2871,2,3268,2,3541,2,3266,4,3658,2,6433,2,4708,2,3073,2,7848,2,3413,4,5034,4,2445,2,1741,2,3255,1,2146,2,3686,US,13,190,158,2,2,6,6,4,6,6,5,5,6,3,2,2,22,10,1,2,Biomed,Medical
3,13280,3,3067,3,3136,2,2618,3,1448,3,1713,2,2566,3,1583,3,4501,4,2193,3,1670,3,2000,3,6173,3,9187,2,1621,3,1650,3,2619,3,2571,2,3543,3,1885,3,1548,2,3079,2,1327,3,12983,2,5096,3,1382,3,1593,3,3689,2,1836,3,5167,3,19806,3,7351,3,1278,3,1287,3,15366,2,1607,3,19431,3,1297,3,9326,3,2553,3,2959,3,2651,US,3,193,773,3,5,4,6,3,6,4,4,3,4,1,2,2,15,7,1,3,Art,Arts
4,5440,2,7977,4,3511,4,4301,4,3210,4,3835,4,3961,4,1953,3,9651,4,2110,4,2304,4,4201,4,1896,4,7752,2,5614,4,3833,4,2820,4,2941,4,4702,4,2726,4,4382,3,2829,3,2453,4,4537,4,7262,3,3021,4,3044,3,4123,4,3023,4,5356,4,3389,4,5523,4,2256,3,2635,4,4490,3,2527,4,7086,4,2066,4,2109,4,4313,4,3159,4,11051,US,3,176,158,1,6,2,7,3,4,6,5,2,6,0,3,2,31,7,2,2,Medical,Medical
1,3765,3,4417,2,4804,1,2873,3,2469,1,2851,1,4034,3,3239,1,4141,2,2414,1,3985,1,2934,1,1998,3,5105,1,10814,4,2760,1,3436,2,2695,1,3908,1,2168,1,2130,4,2075,1,5266,4,2901,1,3354,1,2097,2,2260,1,3426,2,6017,3,5360,3,2743,3,3298,1,2473,1,3368,1,7728,1,24475,1,39184,2,2740,2,4234,2,5304,2,4215,4,9283,AU,92,220,136,1,3,7,5,5,7,5,7,7,1,3,3,2,38,2,1,7,Psychology and Creative Writing,Computer Science
3,5652,4,3720,2,2953,2,8797,3,1937,4,2102,1,2433,1,2428,1,8551,3,4520,3,1665,1,3398,4,3048,3,3855,2,3182,2,2451,3,2323,3,1975,2,7724,3,1913,3,1917,1,1571,2,9873,1,4336,2,6968,3,1727,4,1844,1,2771,3,4443,1,6372,1,3159,2,4794,1,3197,3,2198,3,11510,1,3546,2,2267,3,1770,3,2062,2,4219,1,1812,3,2852,US,46,160,172,5,5,6,6,6,6,6,6,5,3,1,3,2,16,0,1,2,Others,Others
3,16544,2,4523,2,6161,2,6242,2,3405,3,3967,2,3096,3,2562,2,7814,3,3268,3,2633,2,5290,2,2146,3,4065,2,2974,2,4839,1,3675,2,3388,1,8078,2,4243,2,5812,2,3510,2,2554,2,8694,2,5938,2,2471,4,7919,3,3167,3,3098,3,6019,3,7085,2,5432,2,3096,1,2137,3,6730,2,3382,3,6029,2,3035,2,3406,1,6426,2,2386,2,5097,US,22,208,168,4,5,6,6,5,3,3,5,3,5,2,3,1,30,4,1,2,No,Others
4,4031,4,5864,2,4272,2,12648,4,2536,2,4748,2,12184,1,4976,4,6872,4,4296,4,2744,2,6512,4,3528,3,4992,2,17505,4,2841,4,2543,3,8815,1,6728,1,5304,4,2305,2,2889,1,3319,4,2016,1,7472,4,2096,3,13088,2,8935,3,3792,1,10072,4,2512,3,5088,3,2316,4,2608,3,11792,1,2561,4,3408,4,1753,3,14816,2,5632,2,6127,4,3736,IN,8,258,167,1,5,1,7,6,7,6,7,1,2,4,2,1,25,8,1,2,Information Technology,Computer Science
3,8892,4,5132,3,5694,2,7847,2,5788,2,6381,2,2464,4,3385,3,5741,3,5913,3,4212,3,6255,4,3166,3,6895,2,6209,4,3822,2,4992,2,7456,3,5024,3,5928,2,9547,2,9609,2,2527,4,8502,3,13478,4,86571,3,4009,2,4883,3,19984,3,8518,2,3713,4,12215,3,7691,3,5398,2,41259,3,3947,2,10390,2,8533,3,27546,3,6911,2,4352,4,7285,PH,4,425,353,5,5,5,5,6,3,6,7,3,4,3,1,2,19,4,1,5,English,Humanities
4,6337,3,2080,3,4112,4,2673,2,2864,2,3184,2,3365,4,1936,4,4054,2,3549,3,2548,2,51918,3,734,4,3426,3,2780,2,9335,4,1730,3,2001,2,5314,4,3843,1,3402,4,2369,1,4151,3,7527,2,6690,3,858,4,2314,4,2055,4,3184,4,2054,3,6842,2,3525,4,7362,4,2140,2,565,4,1781,2,5303,1,3608,4,2225,4,4211,3,731,2,5714,US,4,245,549,4,2,3,7,2,3,5,7,2,4,1,3,2,14,10,1,1,Others,Others
4,9236,1,2682,4,2176,2,6547,3,2869,4,2046,1,17015,2,1998,4,4375,4,1887,3,3651,1,3261,4,1427,4,2745,1,2098,4,2234,4,2011,3,2777,1,2721,4,2556,4,1582,2,3016,1,2305,2,4978,1,4271,4,1455,2,3611,2,2114,4,2523,4,3482,4,2079,2,2863,3,2196,4,1858,1,2806,1,1794,4,3095,4,1110,4,1764,3,7052,1,2318,2,5999,IN,72,142,153,3,1,7,7,7,7,7,5,3,1,4,2,1,20,8,1,1,Chemistry,Sciences
1,2346,1,1341,1,2432,1,4867,2,6644,1,2233,1,1474,2,2002,1,5306,2,4567,1,2135,2,2546,2,1991,2,2749,2,4204,1,2241,2,2595,1,4280,1,2413,1,1532,1,2825,2,2279,1,1858,1,3523,1,4128,3,4021,1,1867,1,1619,2,2624,1,2164,1,2355,1,3696,2,2308,2,3686,1,2777,1,2260,2,3016,1,1195,1,1370,1,3323,1,2183,1,3179,AU,2,119,105,2,2,2,5,6,7,3,5,6,3,2,2,1,50,5,2,3,Others,Others
